district,n_holdout,temp_mae_raw,temp_mae_backtest,use_temp_correction,hum_mae_raw,hum_mae_backtest,use_hum_correction,rain_mae_raw,rain_mae_floored
Ampara,50,0.794,0.788,True,5.218,4.964,True,0.064,0.05
Anuradhapura,50,0.437,0.386,True,3.365,3.187,True,0.053,0.023
Badulla,50,1.138,0.935,True,5.227,5.224,True,0.082,0.078
Batticaloa,50,0.701,0.679,True,5.567,5.728,False,0.076,0.062
Colombo,50,0.372,0.402,False,3.688,3.079,True,0.195,0.163
Galle,50,0.391,0.391,True,3.305,2.984,True,0.184,0.153
Gampaha,50,0.436,0.482,False,3.399,3.561,False,0.204,0.163
Hambantota,50,0.557,0.486,True,3.678,4.037,False,0.044,0.022
Jaffna,50,0.293,0.339,False,1.812,2.23,False,0.189,0.044
Kalutara,50,0.424,0.435,False,3.35,3.12,True,0.218,0.179
Kandy,50,0.93,0.702,True,4.753,4.629,True,0.112,0.08
Kegalle,50,0.605,0.541,True,3.362,3.308,True,0.173,0.141
Kilinochchi,50,0.59,0.591,False,3.256,3.209,True,0.027,0.005
Kurunegala,50,0.584,0.485,True,3.275,3.269,True,0.148,0.108
Mannar,50,0.301,0.32,False,2.158,2.082,True,0.19,0.04
Matale,50,0.728,0.576,True,4.226,4.159,True,0.179,0.121
Matara,50,0.431,0.404,True,3.53,3.429,True,0.139,0.109
Monaragala,50,0.875,0.773,True,4.574,4.479,True,0.059,0.05
Mullaitivu,50,0.791,0.786,True,5.207,4.696,True,0.043,0.027
NuwaraEliya,50,1.641,1.096,True,6.922,6.708,True,0.104,0.065
Polonnaruwa,50,0.498,0.486,True,3.913,2.46,True,0.034,0.013
Puttalam,50,0.282,0.263,True,3.148,2.409,True,0.088,0.03
Ratnapura,50,0.747,0.635,True,5.028,4.814,True,0.227,0.245
Trincomalee,50,0.689,0.674,True,3.804,3.552,True,0.034,0.017
Vavuniya,50,0.623,0.573,True,3.578,3.395,True,0.034,0.013
