,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
Ampara,-2.799999999999997,-0.10000000000000142,-2.299999999999997,2.700000000000003,-1.5,-11.799999999999997,-6.599999999999994,3.299999999999997,3.200000000000003,2.4000000000000057,1.7000000000000028,3.5,5.400000000000006,3.4000000000000057,5.5,4.799999999999997,-0.7999999999999972,-4.099999999999994,-3.700000000000003,-1.7000000000000028,-2.299999999999997,-6.0,-10.200000000000003,-10.799999999999997
Anuradhapura,-3.3999999999999986,-4.100000000000001,-1.3999999999999986,0.7999999999999972,3.4000000000000057,1.5999999999999943,1.2999999999999972,0.0,0.0,0.4000000000000057,0.09999999999999432,0.20000000000000284,-0.5999999999999943,-0.20000000000000284,-0.09999999999999432,1.9000000000000057,-0.7999999999999972,-3.799999999999997,-5.299999999999997,-5.0,-5.600000000000001,-5.200000000000003,-4.299999999999997,-3.299999999999997
Badulla,-4.200000000000003,-9.799999999999997,-12.100000000000001,-6.5,-11.5,-12.5,-12.799999999999997,-12.599999999999994,-11.700000000000003,-9.5,-11.099999999999994,-14.700000000000003,-15.299999999999997,-12.700000000000003,-9.400000000000006,-6.200000000000003,-12.0,-15.5,-14.399999999999999,-10.700000000000003,-9.5,-9.5,-11.799999999999997,-13.5
Batticaloa,4.700000000000003,2.4000000000000057,-2.799999999999997,-19.099999999999994,-25.200000000000003,-23.0,-18.5,-15.799999999999997,-18.5,-17.5,-16.299999999999997,-14.599999999999994,-14.900000000000006,-10.700000000000003,-6.299999999999997,-4.700000000000003,-13.099999999999994,-13.400000000000006,-12.0,-13.700000000000003,-14.700000000000003,-16.0,-14.899999999999999,-12.399999999999999
Colombo,-0.4000000000000057,1.2999999999999972,2.700000000000003,3.799999999999997,3.0,2.4000000000000057,2.0999999999999943,1.9000000000000057,2.9000000000000057,2.799999999999997,2.700000000000003,1.9000000000000057,-0.5999999999999943,-2.799999999999997,-1.2999999999999972,-0.5999999999999943,-1.7000000000000028,-1.0999999999999943,-0.5,0.29999999999999716,-1.2999999999999972,-1.0999999999999943,-1.7999999999999972,-4.700000000000003
Galle,-1.0999999999999943,2.9000000000000057,1.5,1.7999999999999972,2.4000000000000057,-0.7999999999999972,-0.5999999999999943,-0.4000000000000057,-1.2999999999999972,-3.200000000000003,-5.400000000000006,-6.200000000000003,-5.700000000000003,-7.700000000000003,-8.099999999999994,-7.700000000000003,-7.400000000000006,-9.700000000000003,-10.099999999999994,-9.099999999999994,-8.900000000000006,-9.400000000000006,-8.400000000000006,-8.700000000000003
Gampaha,-0.5,0.5,2.200000000000003,3.5999999999999943,3.299999999999997,2.299999999999997,2.799999999999997,3.299999999999997,3.9000000000000057,2.5,3.0999999999999943,1.0999999999999943,-2.5,-0.7000000000000028,1.9000000000000057,4.099999999999994,4.900000000000006,2.799999999999997,-1.4000000000000057,1.2999999999999972,2.200000000000003,-1.5999999999999943,-0.5999999999999943,-1.7999999999999972
Hambantota,-3.0999999999999943,-3.9000000000000057,-2.0999999999999943,0.29999999999999716,1.9000000000000057,1.7999999999999972,1.9000000000000057,1.0999999999999943,1.7000000000000028,-0.4000000000000057,0.7000000000000028,0.09999999999999432,-0.5,-1.0,0.29999999999999716,0.20000000000000284,-4.200000000000003,-7.700000000000003,-10.400000000000006,-10.299999999999997,-10.900000000000006,-9.700000000000003,-10.299999999999997,-9.0
Jaffna,0.9000000000000057,6.099999999999994,5.799999999999997,3.0999999999999943,2.200000000000003,0.5,-0.7999999999999972,-1.9000000000000057,-3.0,-3.0,-4.299999999999997,-5.400000000000006,-5.900000000000006,0.0,0.5,3.700000000000003,3.700000000000003,0.5,-3.5,-5.700000000000003,-4.799999999999997,-3.9000000000000057,-4.799999999999997,-4.099999999999994
Kalutara,0.20000000000000284,-1.7999999999999972,1.5999999999999943,4.700000000000003,5.599999999999994,4.700000000000003,2.0,-2.0999999999999943,-2.5,-1.7999999999999972,-3.0999999999999943,-5.299999999999997,-6.700000000000003,-3.700000000000003,0.5999999999999943,2.799999999999997,1.0999999999999943,1.2999999999999972,0.0,2.0,-1.2000000000000028,2.799999999999997,2.799999999999997,5.0
