,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
Ampara,-0.5,-0.7999999999999972,0.0,-0.29999999999999716,-0.5,-0.5,-0.8000000000000007,-1.1999999999999993,-1.1999999999999993,-1.0,-0.8000000000000007,-0.8999999999999986,-1.0999999999999979,-1.2000000000000028,-1.6000000000000014,-1.9000000000000021,-1.4000000000000021,-1.3000000000000007,-1.7000000000000028,-2.0,-1.7999999999999972,-1.1000000000000014,0.10000000000000142,1.0
Anuradhapura,-0.5,-0.3000000000000007,-0.8999999999999986,-1.3999999999999986,-1.6000000000000014,-1.3999999999999986,-1.0999999999999979,-0.6999999999999993,-0.3000000000000007,-0.10000000000000142,0.0,-0.1999999999999993,0.0,0.0,-0.3000000000000007,-0.8000000000000007,-0.7999999999999972,-0.6000000000000014,-0.6000000000000014,-0.5,-0.5,-0.5,-0.6000000000000014,-1.0
Badulla,-0.10000000000000142,0.6000000000000014,0.8000000000000007,0.0,-0.3000000000000007,-0.6999999999999993,-1.1000000000000014,-1.1999999999999993,-1.1999999999999993,-1.5999999999999979,-1.9000000000000021,-1.6000000000000014,-1.2000000000000028,-1.0,-1.3000000000000007,-1.6999999999999993,-0.3000000000000007,-0.10000000000000142,-0.29999999999999716,-0.3999999999999986,-0.3999999999999986,0.10000000000000142,0.7000000000000028,1.2000000000000028
Batticaloa,-0.9000000000000057,0.0,0.6999999999999993,1.2999999999999972,1.2000000000000028,0.8999999999999986,0.5,0.6000000000000014,1.0,0.7999999999999972,0.5,0.3000000000000007,0.1999999999999993,0.0,-0.6999999999999993,-1.4000000000000021,-0.8999999999999986,-0.5,0.0,0.5999999999999943,1.1000000000000014,1.1000000000000014,0.6000000000000014,0.7000000000000028
Colombo,-0.9000000000000021,-0.8999999999999986,-1.0999999999999979,-1.1999999999999993,-0.8000000000000007,-0.5999999999999979,-0.29999999999999716,-0.20000000000000284,-0.10000000000000142,-0.10000000000000142,-0.09999999999999787,0.3000000000000007,0.5999999999999979,0.6999999999999993,0.3999999999999986,0.0,-0.1999999999999993,-0.5,-0.6999999999999993,-1.0,-1.0,-0.8999999999999986,-0.8999999999999986,-0.5
Galle,-0.40000000000000213,-1.1000000000000014,-0.6000000000000014,-1.0,-1.0,-0.5,-0.5,-0.3000000000000007,0.09999999999999787,0.5,0.8000000000000007,1.0,1.0,1.0,0.6999999999999993,0.5,0.8000000000000007,0.8000000000000007,0.6999999999999993,0.5999999999999979,0.7000000000000028,0.6000000000000014,0.3999999999999986,0.3000000000000007
Gampaha,-0.6000000000000014,-0.7000000000000028,-0.8000000000000007,-1.0999999999999979,-0.8999999999999986,-0.6999999999999993,-0.6999999999999993,-0.6999999999999993,-0.6999999999999993,-0.40000000000000213,-0.3999999999999986,-0.1999999999999993,0.1999999999999993,-0.10000000000000142,-0.6000000000000014,-0.8000000000000007,-0.5,-0.6000000000000014,-0.5,-1.0,-1.0999999999999979,-0.6999999999999993,-0.5,-0.3999999999999986
Hambantota,-0.3000000000000007,-0.6000000000000014,-0.8000000000000007,-1.3999999999999986,-1.5999999999999979,-1.5,-1.2999999999999972,-1.0,-0.8999999999999986,-0.7000000000000028,-0.6000000000000014,-0.40000000000000213,-0.29999999999999716,-0.29999999999999716,-0.3999999999999986,-0.8000000000000007,-0.3000000000000007,0.40000000000000213,0.5,0.29999999999999716,0.19999999999999574,0.29999999999999716,0.5,0.20000000000000284
Jaffna,-0.6999999999999993,-1.2999999999999972,-1.2000000000000028,-1.0,-0.8000000000000007,-0.5,-0.20000000000000284,0.09999999999999787,0.3000000000000007,0.5,0.7000000000000028,0.8999999999999986,1.1000000000000014,-0.1999999999999993,-0.3000000000000007,-0.6000000000000014,-0.3000000000000007,0.0,0.3999999999999986,0.3000000000000007,0.09999999999999787,-0.10000000000000142,-0.1999999999999993,-0.1999999999999993
Kalutara,-0.6000000000000014,-0.20000000000000284,-0.6000000000000014,-1.0,-1.0,-0.8999999999999986,-0.5,-0.40000000000000213,-0.40000000000000213,-0.5,-0.5,-0.3000000000000007,0.0,-0.29999999999999716,-0.5999999999999979,-1.0,-0.6999999999999993,-0.8000000000000007,-0.8999999999999986,-1.2999999999999972,-0.8999999999999986,-1.7000000000000028,-1.5,-1.7999999999999972
